Sample_ID,Bleed_or_Dose,Experimental_Manipulation,Virus,Group,Sample_Type,Starting_Dilution_or_Concentration,Dilution_Factor,Number_of_Dilutions,Unit
AGM1,Bleed 3,,Wu-G614,Wu NP,sera,10,3,8,
AGM2,Bleed 3,,Wu-G614,Wu NP,sera,10,3,8,
AGM3,Bleed 3,,Wu-G614,Wu NP,sera,10,3,8,
AGM4,Bleed 3,,Wu-G614,Wu NP,sera,10,3,8,
AGM5,Bleed 3,,Wu-G614,Wu NP,sera,10,3,8,
AGM6,Bleed 3,,Wu-G614,Wu NP,sera,10,3,8,
AGM7,Bleed 3,,Wu-G614,Trivalent NP,sera,10,3,8,
AGM8,Bleed 3,,Wu-G614,Trivalent NP,sera,10,3,8,
AGM9,Bleed 3,,Wu-G614,Trivalent NP,sera,10,3,8,
AGM10,Bleed 3,,Wu-G614,Trivalent NP,sera,10,3,8,
AGM11,Bleed 3,,Wu-G614,Trivalent NP,sera,10,3,8,
AGM12,Bleed 3,,Wu-G614,Trivalent NP,antibody,10,3,8,ug/ml
AGM1,Bleed 4,,Wu-G614,Wu NP,sera,10,3,8,
AGM2,Bleed 4,,Wu-G614,Wu NP,sera,10,3,8,
AGM3,Bleed 4,,Wu-G614,Wu NP,sera,10,3,8,
AGM4,Bleed 4,,Wu-G614,Wu NP,sera,10,3,8,
AGM5,Bleed 4,,Wu-G614,Wu NP,sera,10,3,8,
AGM6,Bleed 4,,Wu-G614,Wu NP,sera,10,3,8,
AGM7,Bleed 4,,Wu-G614,Trivalent NP,sera,10,3,8,
AGM8,Bleed 4,,Wu-G614,Trivalent NP,sera,10,3,8,
AGM9,Bleed 4,,Wu-G614,Trivalent NP,sera,10,3,8,
AGM10,Bleed 4,,Wu-G614,Trivalent NP,sera,10,3,8,
AGM11,Bleed 4,,Wu-G614,Trivalent NP,sera,10,3,8,
AGM12,Bleed 4,,Wu-G614,Trivalent NP,antibody,10,3,8,ng/ml
